date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:49:47	224420/224420	---M--	200	added ('OK')	image/jpeg	etag:%2236ca4-58d223f6bff00%22	http://hienle.demo.123corp.vn/steeldoor/img/bg-design.jpg	D:/xampp/htdocs/FCV/WP/2020/07/realwork/Realwork/hienle.demo.123corp.vn/steeldoor/img/bg-design.jpg	(from http://hienle.demo.123corp.vn/steeldoor/)
15:49:49	36816/36816	---M-Z	200	added ('OK')	text/javascript	etag:%221544639631%22	https://maxcdn.bootstrapcdn.com/bootstrap/3.3.5/js/bootstrap.min.js	D:/xampp/htdocs/FCV/WP/2020/07/realwork/Realwork/maxcdn.bootstrapcdn.com/bootstrap/3.3.5/js/bootstrap.min.js	(from http://hienle.demo.123corp.vn/steeldoor/)
15:49:49	282879/282879	---M--	200	added ('OK')	image/jpeg	etag:%22450ff-58ceaf2b90180%22	http://hienle.demo.123corp.vn/steeldoor/img/banner2.jpg	D:/xampp/htdocs/FCV/WP/2020/07/realwork/Realwork/hienle.demo.123corp.vn/steeldoor/img/banner2.jpg	(from http://hienle.demo.123corp.vn/steeldoor/)
15:49:50	300461/300461	---M--	200	added ('OK')	image/jpeg	etag:%22495ad-58ceaf25d7400%22	http://hienle.demo.123corp.vn/steeldoor/img/banner1.jpg	D:/xampp/htdocs/FCV/WP/2020/07/realwork/Realwork/hienle.demo.123corp.vn/steeldoor/img/banner1.jpg	(from http://hienle.demo.123corp.vn/steeldoor/)
15:49:52	96381/96381	---MC-	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/1.11.0/jquery.min.js	D:/xampp/htdocs/FCV/WP/2020/07/realwork/Realwork/ajax.googleapis.com/ajax/libs/jquery/1.11.0/jquery.min.js	(from http://hienle.demo.123corp.vn/steeldoor/)
15:49:52	51/51	---M--	302	error ('Found')	text/plain	date:Wed,%2005%20Aug%202020%2008:49:52%20GMT	https://unpkg.com/aos@next/dist/aos.js	D:/xampp/htdocs/FCV/WP/2020/07/realwork/Realwork/unpkg.com/aos@next/dist/aos.24.delayed	(from http://hienle.demo.123corp.vn/steeldoor/)
15:49:52	13800/13800	---M-Z	200	added ('OK')	application/javascript	etag:W/%2235e8-44lQwbzmXp8EjjBbNWf/kKDJI+M%22	https://unpkg.com/aos@3.0.0-beta.6/dist/aos.js	D:/xampp/htdocs/FCV/WP/2020/07/realwork/Realwork/unpkg.com/aos@3.0.0-beta.6/dist/aos.js	(from http://hienle.demo.123corp.vn/steeldoor/)
15:49:53	3639/3639	---M--	200	added ('OK')	application/javascript	etag:%22e37-58d3c6fdf1b80%22	http://hienle.demo.123corp.vn/steeldoor/js/main.js	D:/xampp/htdocs/FCV/WP/2020/07/realwork/Realwork/hienle.demo.123corp.vn/steeldoor/js/main.js	(from http://hienle.demo.123corp.vn/steeldoor/)
15:49:53	315/315	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2005%20Aug%202020%2008:49:56%20GMT	http://hienle.demo.123corp.vn/steeldoor/css/owl.video.play.png	D:/xampp/htdocs/FCV/WP/2020/07/realwork/Realwork/hienle.demo.123corp.vn/steeldoor/css/owl.video.play.29.delayed	(from http://hienle.demo.123corp.vn/steeldoor/css/owl.carousel.min.css)
15:49:54	1431/1431	---M--	200	added ('OK')	image/png	etag:%22597-58d215c910b80%22	http://hienle.demo.123corp.vn/steeldoor/img/line.png	D:/xampp/htdocs/FCV/WP/2020/07/realwork/Realwork/hienle.demo.123corp.vn/steeldoor/img/line.png	(from http://hienle.demo.123corp.vn/steeldoor/css/style.css)
15:49:56	12613/12613	---M--	200	added ('OK')	image/png	etag:%223145-58d23a9eff380%22	http://hienle.demo.123corp.vn/steeldoor/img/bg-foot.png	D:/xampp/htdocs/FCV/WP/2020/07/realwork/Realwork/hienle.demo.123corp.vn/steeldoor/img/bg-foot.png	(from http://hienle.demo.123corp.vn/steeldoor/css/style.css)
15:49:56	20898/20898	---M-Z	200	added ('OK')	text/html	etag:%2251a2-58d4b9193cf00-gzip%22	http://hienle.demo.123corp.vn/steeldoor/thanh-toan.html	D:/xampp/htdocs/FCV/WP/2020/07/realwork/Realwork/hienle.demo.123corp.vn/steeldoor/thanh-toan.html	(from http://hienle.demo.123corp.vn/steeldoor/gio-hang.html)
15:49:57	44342/44342	---M--	200	added ('OK')	application/javascript	etag:%22ad36-58805b2785d80%22	http://hienle.demo.123corp.vn/steeldoor/js/owl.carousel.min.js	D:/xampp/htdocs/FCV/WP/2020/07/realwork/Realwork/hienle.demo.123corp.vn/steeldoor/js/owl.carousel.min.js	(from http://hienle.demo.123corp.vn/steeldoor/)
